claim_id, report_section                                     , claim                                                                                                                                                                                                                                                                                                                                                                                                                                     , artifact_path                                                                              , exact_locator                                                                                                                                                    , collection_time_utc , sha256             ,                                   proves                                                                                                                                                                                                                                                      , does_not_prove                                                                                                                                                                                                    , confidence, alternative_considered                                                                                                                                                                                                                                                                                                                                                   , disposition
EH6-001 , Environment Preparation                            , "Vulnerable and patched VMs were successfully created and provisioned on an isolated host-only network."                                                                                                                                                                                                                                                                                                                                  , execution-transcripts/001 - vm-deployment.txt                                              , "vagrant status output lines 1-2"                                                                                                                                , 2026-07-29T00:00:00Z, A09D9FB823DCEDD45AD3E5DDEE2C51374283E3C0DB2927B746407CAC8402A363, "Shows both VMs reached a running state after vagrant up."                                                                                                                                                                                                  , "Does not prove the NetForge service itself was healthy or reachable at this point."                                                                                                                              , high      , "Could have relied on VirtualBox GUI state instead of vagrant status CLI output."                                                                                                                                                                                                                                                                                        , "Retained CLI output as the primary artifact since it is text-based and reproducible; GUI screenshots would not be diffable evidence."
EH6-002 , Environment Preparation                            , "Clean restore-point snapshots were created for both vulnerable and patched VMs prior to any security testing."                                                                                                                                                                                                                                                                                                                           , execution-transcripts/002 - snapshot-creation.txt                                          , "vagrant snapshot save output, both commands"                                                                                                                    , 2026-07-29T00:00:00Z, 84CE8C1BCF0110C068B2E91F0C46B13C873EE6ABFD99895DE59866E80677AB46, "Shows a named, reproducible baseline snapshot exists for each VM before any exploitation."                                                                                                                                                                 , "Does not prove the snapshot's internal state (e.g. that netforge-support was actually running correctly) - see EH6-003 for the later correction."                                                                , high      , "None - snapshot save is the standard mechanism for this checkpoint."                                                                                                                                                                                                                                                                                                    , n/a                                                                                                                                                      , "This snapshot (clean-vulnerable / clean-patched) was later superseded by clean-vulnerable-v3 / clean-patched-v2 after the service-permission and B2-marker corrections; retained here as the historical first checkpoint."
EH6-003 , Environment Preparation                            , "The programme-supplied B2 correction (assigned Stage 6 user/root flag markers) was applied to both VMs via install-assigned-flags.sh without rebuilding the environment."                                                                                                                                                                                                                                                                , execution-transcripts/003 - b2-marker-installation.txt                                     , "install-assigned-flags.sh output: 'Installed assigned Stage 6 markers at /home/support/user.txt and /root/root.txt', both VMs"                                  , 2026-07-30T13:10:44Z, 0560A9C6736AEF2C2EF617ACCC8CE1B275D98F79AD901585EA35F4F8852E346B, "Shows the private evidence marker UBI-A6-F66C148ABB4D was used to install candidate-bound flags on both targets, per official programme instruction."                                                                                                      , "Does not itself prove the flag contents are correct or exploitable - only that the installation step completed without error."                                                                                   , high      , "A full VM rebuild from a corrected B2 archive was considered and rejected per explicit programme guidance to preserve the existing B1 environment."                                                                                                                                                                                                                     , "Superseded snapshots clean-vulnerable-v3 and clean-patched-v2 were taken after this step plus a separate service-permission fix; see later transcripts."
EH6-004 , Target Enumeration                                 , "Initial enumeration identified that netforge-support failed to start due to a file-permission error (support account could not read app.py), rather than a code defect."                                                                                                                                                                                                                                                                 , execution-transcripts/004 - initial-enumeration.txt                                        , "journalctl output: 'can't open file /opt/netforge-support/app.py: [Errno 13] Permission denied', plus ls -ld/-l ownership output"                               , 2026-07-30T00:00:00Z, D73FB8850A214463BFADB3DD12332539F42F9146CA648EC18840AC50FC893ACF, "Shows the root cause of the initial service failure was a provisioning ownership defect (root:root, 0750) unrelated to the application's own logic."                                                                                                       , "Does not prove this was an intentionally planted obstacle versus an incidental provisioning bug in the supplied source."                                                                                         , high      , "Could have assumed the service was simply not yet started and retried without diagnosing; rejected since journalctl gave a concrete, actionable error."                                                                                                                                                                                                                 , n/a
EH6-005 , Target Enumeration                                 , "The service startup defect was corrected with a minimal ownership change (root:support, 0750) rather than a broad permission relaxation, and the service was confirmed running and listening on port 8080 afterward."                                                                                                                                                                                                                    , execution-transcripts/005 - environment-correction.txt                                     , "chown/chmod commands, systemctl status showing Active: active (running), ss -tulpn showing tcp LISTEN on 8080"                                                  , 2026-07-30T00:00:00Z, 30DBD5CEC918EA382393F83CDB55C89C34C5A414B5D69F0CA084C7A7E3A614AA, "Shows the fix was minimal and targeted (matching the systemd unit's declared User=support/Group=support) rather than an overly broad chmod 777-style workaround."                                                                                          , "Does not itself prove the underlying application logic (the /diagnose endpoint) was safe to test yet - only that the service was reachable."                                                                     , high      , "A broader chmod (e.g. 0755 world-readable) was considered and rejected as unnecessarily permissive compared to matching the service's actual group."                                                                                                                                                                                                                    , n/a
EH6-006 , Application Enumeration                            , "HTTP endpoint enumeration confirmed only two functional endpoints (/health, /diagnose) exist, with unsupported methods and unknown paths correctly rejected, and source review identified /diagnose as the primary attack surface."                                                                                                                                                                                                      , execution-transcripts/006 - application-enumeration.txt                                    , "curl responses for /, /health, OPTIONS method; sed output of app.py source review"                                                                              , 2026-07-30T13:55:23Z, AFD98B09CC21FD0EB77C7F69E388CB08494A75211201B58C2BE7B5A9B56B079B, "Establishes the complete known application surface prior to vulnerability testing, supporting the later rabbit-hole analysis that no additional hidden endpoint exists on this service."                                                                   , "Does not prove the absence of vulnerabilities outside HTTP (e.g. in support-backup, only identified as a target in phase 008)."                                                                                  , high      , "A full port scan (nmap) was considered as an alternative/additional enumeration method for completeness beyond curl-based endpoint probing."                                                                                                                                                                                                                            , n/a
EH6-007 , Vulnerability Validation                           , "Operating system command injection in /diagnose was validated via URL-encoded semicolon payloads, confirming arbitrary command execution as the support account, and that NoNewPrivileges blocks direct sudo escalation from this execution context."                                                                                                                                                                                    , execution-transcripts/007 - command-injection-validation.txt                               , "curl responses for baseline, id/whoami/pwd injection, and sudo -l showing 'no new privileges' flag error"                                                       , 2026-07-30T14:01:52Z, 08D0386C16A535A42FB7C0C50CDAC0DC8BDE32E8AD95CB21F8726F1D7CBE92B5, "Confirms both the injection vulnerability itself and the existence of the rabbit-hole precondition (sudo blocked by NoNewPrivileges) in a single evidence set."                                                                                            , "Does not yet prove a viable alternative escalation path exists - that is established separately in later transcripts (SSH key injection)."                                                                       , high      , "None - direct injection testing via curl is the most direct verification method available."                                                                                                                                                                                                                                                                             , n/a
EH6-008 , Privilege Escalation Enumeration                   , "The support-backup script and /srv/support/uploads directory were identified as the privilege-escalation target: the uploads directory is writable by the support account via the injection foothold, and support-backup runs with elevated privilege."                                                                                                                                                                                  , execution-transcripts/008 - privilege-escalation-enumeration.txt                           , "curl commands creating and listing demo-file in /srv/support/uploads"                                                                                           , 2026-07-30T00:00:00Z, 7B90255526E1FFE7E96C5D2448DB9CD42BA132E9C72C0E8B47DEBA171ADC5B82, "Confirms the application-controlled directory (writable via injection) is the same directory later archived by the privileged backup process, establishing the precondition for the tar wildcard escalation."                                              , "Does not yet prove the tar wildcard technique itself succeeds - that is established in transcript 014."                                                                                                          , high      , "Reading support-backup's source directly was attempted but returned Permission denied (root-owned, not world-readable); behavioural testing was used instead."                                                                                                                                                                                                          , n/a
EH6-009 , Exploit Chain Implementation                       , "The candidate-authored Python automation framework (exploit.py) successfully performed a preflight TCP connectivity check against the target service before any exploitation logic was added."                                                                                                                                                                                                                                           , execution-transcripts/009 - automation-framework-validation.txt                            , "terminal output: 'Target 192.168.77.21:8080 is reachable', 'Framework validation completed successfully'"                                                       , 2026-07-31T13:08:47Z, 9B08B401184FEE5AB8A65AB77880562E8F3C79DDE2FDDE0CB03377760A29D6F8, "Shows the automation framework's foundational connectivity/preflight logic works correctly, prior to layering exploitation stages on top."                                                                                                                 , "Does not prove any exploitation capability yet - only basic reachability."                                                                                                                                       , high      , "n/a"                                                                                                                                                                                                                                                                                                                                                                    , n/a
EH6-010 , Exploit Chain Implementation                       , "The candidate-authored exploit chain (foothold through user flag) executed successfully end to end via exploit.py, obtaining the private user flag through the command-injection foothold."                                                                                                                                                                                                                                              , execution-transcripts/010 - foothold-chain-execution.txt                                   , "terminal output: '[+] user flag:' line showing UBI{A6_USER_F2557845D2AABFDAEF146657}"                                                                           , 2026-07-31T23:56:22Z, 1CA59464A7D8EE60E17EFE87726B0E17508FA864AA5ABFF9E00F338CA3B23F70, "Confirms the automated (not manual) chain reproduces the manually-validated injection and flag-retrieval steps from transcripts 006-007."                                                                                                                  , "Does not prove reliability (single run only) or privilege escalation to root - see reliability.json and later transcripts for those claims."                                                                     , high      , "n/a"                                                                                                                                                                                                                                                                                                                                                                    , n/a
